ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Afghanistan,Gross domestic product constant prices,National currency,Billions,,n/a,n/a,183.26,198.736,200.069,223.737,235.731,267.177,277.498,334.621,362.857,386.368,440.336,456.172,470.944,492.082,516.838,542.993,571.601,603.538
AFG,Afghanistan,Inflation average consumer prices,Index,,,n/a,n/a,41.133,51.345,59.744,66.058,70.54,76.663,96.917,90.315,92.283,103.176,109.822,117.933,125.138,131.961,139.218,146.179,153.488,161.163
AFG,Afghanistan,Population,Persons,Millions,,n/a,n/a,22.145,23.116,24.019,24.861,25.631,26.349,27.032,27.708,28.398,29.105,29.825,30.552,31.28,32.007,32.739,33.471,34.203,34.935
ALB,Albania,Gross domestic product constant prices,National currency,Billions,,376.469,406.362,423.557,448.011,473.59,500.865,528.067,559.223,601.368,621.305,644.914,664.778,673.42,678.134,692.375,715.223,745.262,778.799,813.845,852.096
ALB,Albania,Inflation average consumer prices,Index,,,79.389,81.867,86.139,88.158,90.688,92.83,95.031,97.822,101.108,103.407,107.076,110.746,112.986,115.171,118.273,121.593,125.24,128.997,132.867,136.853
ALB,Albania,Unemployment rate,Percent of total labor force,,,16.8,16.44,15.751,15,14.4,14.1,13.8,13.2,12.545,13.615,13.5,13.3,13,12.8,13,12.48,12.106,11.742,11.39,11.048
ALB,Albania,Population,Persons,Millions,,3.058,3.068,3.06,3.042,3.025,3.004,2.981,2.955,2.927,2.898,2.87,2.843,2.816,2.788,2.774,2.76,2.746,2.732,2.719,2.705
DZA,Algeria,Gross domestic product constant prices,National currency,Billions,,4103.88,4227,4463.71,4785.1,4990.86,5285.32,5374.35,5555.62,5686.74,5779.56,5988.56,6157.91,6361.2,6533.22,6816.57,7099.01,7404.38,7718.58,8048.03,8395.88
DZA,Algeria,Inflation average consumer prices,Index,,,95.969,100,101.43,105.75,109.95,111.47,114.05,118.24,123.98,131.1,136.23,142.39,155.048,160.095,166.499,173.159,180.085,187.289,194.78,202.571
DZA,Algeria,Unemployment rate,Percent of total labor force,,,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.333,10.167,9.961,9.971,11,9.829,9.387,9.029,8.599,8.193,7.774,7.329
DZA,Algeria,Population,Persons,Millions,,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,37.9,38.7,39.474,40.224,40.908,41.562,42.227
AGO,Angola,Gross domestic product constant prices,National currency,Billions,,458.758,473.172,541.935,559.864,622.473,750.784,906.46,1111.26,1264.8,1295.32,1339.46,1391.95,1464.17,1523.61,1604.45,1693.26,1792.34,1850.95,1972.46,2103.7
AGO,Angola,Inflation average consumer prices,Index,,,2.705,6.832,14.272,28.307,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,136.383,146.92,157.778,169.036,180.406,192.132
AGO,Angola,Population,Persons,Millions,,14.383,14.805,15.239,15.685,16.145,16.618,17.089,17.555,18.021,18.498,19.053,19.625,20.213,20.82,21.444,22.088,22.75,23.433,24.136,24.86
ATG,Antigua and Barbuda,Gross domestic product constant prices,National currency,Billions,,2.048,1.957,2.007,2.122,2.19,2.348,2.647,2.834,2.878,2.571,2.35,2.301,2.365,2.376,2.415,2.461,2.515,2.57,2.627,2.684
ATG,Antigua and Barbuda,Inflation average consumer prices,Index,,,98.469,100.374,102.791,104.84,106.968,109.213,111.166,112.74,118.753,118.1,122.08,126.3,130.565,131.943,133.284,135.607,138.846,142.286,145.811,149.424
ATG,Antigua and Barbuda,Population,Persons,Millions,,0.077,0.079,0.08,0.081,0.082,0.084,0.085,0.086,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
ARG,Argentina,Gross domestic product constant prices,National currency,Billions,,276.173,263.997,235.236,256.302,279.141,304.764,330.565,359.17,383.444,386.704,422.136,459.571,468.301,488.204,490.647,495.554,502.992,513.052,523.316,533.782
ARG,Argentina,Inflation average consumer prices,Index,,,107.143,106.001,133.422,151.358,158.042,173.28,192.164,209.133,227.086,241.324,266.57,292.628,322.017,356.213,n/a,n/a,n/a,n/a,n/a,n/a
ARG,Argentina,Unemployment rate,Percent of total labor force,,,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.086,7.581,7.624,7.645,7.613,7.637,7.635
ARG,Argentina,Population,Persons,Millions,,35.923,36.26,36.67,37.084,37.503,37.926,38.355,38.788,39.226,39.669,40.117,40.57,41.028,41.492,41.961,42.434,42.914,43.398,43.889,44.384
ARM,Armenia,Gross domestic product constant prices,National currency,Billions,,1241.24,1358.76,1559.95,1779.16,1965.49,2242.88,2538.9,2887.97,3088.62,2651.58,2709.92,2837.27,3039.69,3136.65,3270.21,3417.37,3577.98,3756.88,3944.73,4141.96
ARM,Armenia,Inflation average consumer prices,Index,,,146.837,151.456,153.078,160.279,171.431,172.541,177.639,185.727,202.476,209.651,224.901,242.112,248.195,262.559,275.687,286.715,298.183,310.111,322.515,335.416
ARM,Armenia,Unemployment rate,Percent of total labor force,,,n/a,38.4,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19,19,19,18.5,18,17.9,17.7,17.5,17.3,17.1
ARM,Armenia,Population,Persons,Millions,,3.221,3.214,3.212,3.211,3.214,3.218,3.221,3.227,3.234,3.25,3.263,3.274,3.281,3.287,3.294,3.301,3.307,3.314,3.32,3.327
