AGO,-1.0,1850950000000.0,23433000.0,169.036,,
DZA,5.388170719,7718580000000.0,40908000.0,187.289,8.193,
EGY,4.556740761,701845000000.0,91087000.0,414.196,13.406,
BGD,4.5561409,8193830000000.0,162877000.0,236.141,,
QAT,-1.0,472401000000.0,2672000.0,281.977,,
NAM,-1.0,58406000000.0,2247000.0,289.255,,
BGR,4.837560654,59319000000.0,7095000.0,151.795,10.67,
BOL,5.769723415,46838000000.0,11900000.0,178.754,6.068,
GHA,4.514411449,40719000000.0,28278000.0,951.891,,
PAK,5.548508167,11477080000000.0,197496000.0,234.817,6.361,
PAN,6.117638111,36068000000.0,3996000.0,196.288,4.5,
JOR,5.27128458,12762000000.0,7166000.0,156.944,12.2,
LBR,3.354676008,1195000000.0,4505000.0,426.351,,
LBY,5.43358326,55132000000.0,6495000.0,195.716,,
MYS,-1.0,958053000000.0,31686000.0,121.613,3.0,
TZA,2.90273428,26927830000000.0,52085000.0,326.107,,
BWA,3.498936653,89965000000.0,2180000.0,320.485,,
KHM,4.461259365,49698510000000.0,16032000.0,173.501,,
PRY,5.801380157,31943830000000.0,7286000.0,157.695,5.5,
SAU,6.473921299,1499180000000.0,32499000.000000004,144.359,-1.0,
LBN,5.27072382,51840910000000.0,4642000.0,144.295,,
SVN,5.936821461,24564000000.0,2072000.0,130.859,8.868,
BFA,4.205634594,5339280000000.0,18400000.0,118.097,,
CHE,7.458519936,606765000000.0,8196999.999999999,101.748,2.823,
MRT,4.472149372,571095000000.0,4085000.0,188.161,,
HRV,-1.0,272527000000.0,4281000.0,114.255,15.274,
CHL,6.579056263,134041410000000.0,18139000.0,112.906,6.4,
CHN,5.32495594,23605000000000.0,1387990000.0,309.699,4.1,
JAM,-1.0,791265000000.0,2841000.0,526.231,14.9,
GIN,3.602854729,10764830000000.0,12280000.0,1506.22,,
FIN,7.659843445,164930000000.0,5542000.0,128.834,7.6,
URY,6.171485424,735550000000.0,3439000.0,166.056,7.1,
THA,6.07363987,5882310000000.0,69454000.0,114.518,1.0,
NPL,5.099539757,833080000000.0,29654000.0,242.59,,
MAR,5.38630724,864737000000.0,34150000.0,124.248,8.835,
YEM,3.825630903,430865000000.0,29977000.0,592.486,,
PHL,5.430832863,8635799999999.999,105520000.0,155.27,6.6,
ZAF,4.769739628,2226200000000.0,55907000.0,260.266,24.004,
NIC,6.012739658,178523000000.0,6422000.0,226.869,5.863,
ROU,5.96887064,389702000000.0,21124000.0,126.798,6.75,
SYR,-1.0,-1.0,-1.0,-1.0,-1.0,
MLT,6.590842247,6186000000.0,420000.0,129.404,6.1,
KAZ,5.533551693,21557240000000.0,18172000.0,364.06,5.2,
SUR,-1.0,12308000000.0,568000.0,365.845,8.928,
BEN,4.007357597,3456010000000.0,11399000.0,125.441,,
NGA,5.219567776,17610100000000.0,188686000.0,193.104,-1.0,
BEL,6.948936462,388786000000.0,11380000.0,125.234,8.568,
TGO,3.878578424,1688360000000.0,7566000.0,128.184,,
DEU,6.873763084,2639870000000.0,81004000.0,122.414,5.175,
LKA,-1.0,4223180000000.0005,21397000.0,216.653,4.0,
GBR,6.8242836,1690650000000.0,65825000.0,136.121,6.1,
MWI,3.476492643,916351000000.0,19169000.0,703.593,,
CRI,7.135617733,2918540000000.0,5196000.0,189.554,7.0,
CMR,4.816232204,12765020000000.0,24277000.0,256.105,,
NER,4.234645844,3397180000000.0,18758000.0,147.433,,
HUN,5.448901653,23590210000000.0,9800000.0,160.198,8.745,
TKM,5.887051582,60429000000.0,6078000.0,466.389,,
TTO,-1.0,96252000000.0,1371000.0,280.6,5.0,
NLD,7.540877342,576577000000.0,16951000.0,121.537,6.169,
Country_code,-1.0,,,,,
TCD,4.029350281,6473020000000.0,12185000.0,143.65,,
GEO,4.448386192,15708000000.0,4429000.0,310.275,-1.0,
MNE,5.304066181,2856000000.0,628000.0,451.024,,
BLZ,-1.0,2932000000.0,374000.0,142.587,13.749,
MMR,4.623119831,65779250000000.0,70285000.0,2343.41,4.02,
AFG,4.220168591,542993000000.00006,33470999.999999996,146.179,,
BDI,-1.0,2068870000000.0,9879000.0,1538.34,,
BLR,5.177899361,176184300000000.0,9276000.0,850.862,0.6,
GRC,5.302619457,178871000000.0,11007000.0,124.496,19.13,
ZWE,3.7354002,13753000000.0,13703000.0,66.086,,
RWA,3.332989931,3833270000000.0,11563000.0,145.97,,
TJK,5.103721142,250000000.0,8836000.0,1356.88,,
PSE,4.906618118,,,,,
IND,4.179177284,78384030000000.0,1310070000.0,316.474,,
IRL,7.04073143,177750000000.0,4921000.0,114.112,9.628,
BTN,-1.0,71181000000.0,751000.0,1433.82,3.2,
VNM,5.062267303,3181021710000000.0,93505000.0,292.035,4.424,
NOR,7.596331596,3074770000000.0,5319000.0,145.921,3.5,
CZE,6.735627174,3858740000000.0,10578000.0,131.401,5.801,
HND,5.648154736,199549000000.0,8782000.0,325.971,4.5,
MUS,5.610003471,233125000000.0,1327000.0,240.818,-1.0,
DOM,5.238698483,490999000000.0,11183000.0,473.461,5.697,
LUX,6.967340946,36786000000.0,586000.0,131.682,6.373,
ISR,7.159010887,1104900000000.0,8587000.0,109.612,6.5,
PER,5.700628757,313159000000.0,32906999.999999996,121.728,6.0,
IDN,5.136325359,3469809380000000.0,262404000.0,132.708,5.5,
COD,4.521935463,12595360000000.0,86654000.0,3210.04,,
COG,4.119493484,2126380000000.0,4554000.0,148.591,,
ISL,7.510034561,1019800000000.0,328000.0,258.996,4.023,
ETH,4.297848701,735237000000.0,97120000.0,680.885,,
COM,-1.0,168015000000.0,770000.0,198.306,,
COL,6.233715057,586649920000000.0,49429000.0,126.291,9.0,
PRT,5.446637154,163202000000.0,10648000.0,122.099,14.004,
MDA,5.577784061,12785000000.0,3556000.0,49393.39,5.5,
MDG,3.663085938,8587389999999.999,25258000.0,404.947,,
ECU,6.115437508,77057000000.0,16777000.000000002,159.122,5.0,
SEN,4.59453392,6628620000000.0,15858000.0,112.459,,
SRB,5.752754688,3164800000000.0,7199000.0,207.29,21.457,
FRA,6.475208759,1926670000000.0,64833000.0,120.68,9.959,
LTU,5.865552425,99410000000.0,2913000.0,149.62,10.5,
UGA,4.233261108,31566560000000.0,41931000.0,258.781,,
ZMB,4.347543716,27791000000.0,16564000.0,164.529,,
TWN,6.512850761,17880310000000.0,23606000.0,110.557,4.0,
GTM,6.358916283,254275000000.0,17090000.0,132.532,,
DNK,7.55778265,1661400000000.0,5666000.0,140.139,6.6,
UKR,4.028690338,-1.0,-1.0,-1.0,-1.0,
AUS,7.250080109,1726210000000.0,24353000.0,113.983,5.5,
AUT,7.048071861,290682000000.0,8628000.0,127.215,4.6,
VEN,4.041114807,62324000000.0,31907000.0,2909.0,15.94,
KEN,4.396127701,2137690000000.0,49275000.0,321.176,,
LAO,-1.0,53525410000000.0,7302000.0,300.069,,
TUR,5.326221943,138494000000.0,79766000.0,287.03,10.598,
ALB,4.511100769,778799000000.0,2732000.0,128.997,11.742,
ITA,5.95452404,1423110000000.0,60737000.0,123.967,10.3,
TUN,4.521453381,63940000000.0,11496000.0,170.064,13.0,
RUS,5.85494566,47319600000000.0,142643000.0,1392.83,6.0,
MEX,6.824172974,15379200000000.0,123204000.0,124.806,4.0,
BRA,6.374817371,1310650000000.0,204830000.0,30323849083904.2,6.0,
CIV,4.542545795,12577860000000.0,27089000.0,158.066,,
MKD,5.34574604,427931000000.0,2089999.9999999998,121.216,26.645,
USA,6.803599834,17681170000000.0,326377000.0,249.214,5.818,
SWE,7.368744373,3990660000000.0,9929000.0,106.6,7.292,
AZE,5.303894997,26993000000.0,9610000.0,308.532,6.048,
GNB,-1.0,422547000000.0,1752000.0,116.69,,
CAN,7.244845867,1857040000000.0,36554000.0,132.152,6.719,
KOR,5.970564365,1316182590000000.0,51093000.0,119.714,3.125,
SVK,5.993163109,74065000000.0,5437000.0,130.657,12.712,
CYP,5.794618607,13937000000.0,918000.0,126.394,15.385,
BIH,5.180865288,28507000000.0,3845000.0,152.492,23.0,
SGP,6.033480644,374267000000.0,5639000.0,127.496,2.2,
UZB,5.892539024,1152170000000.0,31719000.0,4472.96,,
POL,6.162076473,1526310000000.0,38528000.0,184.497,9.828,
KWT,5.947194576,23275000000.0,4342000.0,187.299,2.072,
GAB,4.831764221,6479270000000.0,1654000.0,133.858,,
EST,5.649675369,14532000000.0,1331000.0,160.245,8.099,
ESP,6.318612099,1057380000000.0001,46179000.0,124.734,23.429,
IRQ,4.412537098,97379910000000.0,39212000.0,158.93,,
SLV,6.139824867,10308000000.0,6429000.0,119.773,5.537,
MLI,4.016027927,2199840000000.0,19054000.0,159.048,,
LVA,5.940446377,17331000000.0,2011000.0000000002,160.086,9.282,
IRN,4.652730942,561741860000000.0,81142000.0,381.353,15.628,
SSD,2.888112307,34898000000.0,12373000.0,215.035,,
SLE,4.732953072,13874430000000.0,6561000.0,2377.56,,
NZL,7.225687981,168517000000.0,4627000.0,150.177,4.501,
JPN,5.954650879,546592260000000.0,125909000.0,108.613,3.916,
KGZ,4.856534004,44142000000.0,5873000.0,329.691,7.281,
ARE,6.83095026,1262130000000.0,10139000.0,276.962,,
ARG,6.427221298,513052000000.0,43398000.0,-1.0,7.613,
SDN,-1.0,122103000000.0,38099000.0,506.989,7.307,
BHR,6.169673443,12365000000.0,1271000.0,130.793,4.244,
ARM,4.325471878,3756880000000.0,3314000.0,310.111,17.5,
